01;CLA;IPL3;201210;
1;J;1100015;1;
1;J;1100023;29;
1;J;1100031;2;
1;J;1100049;80;
1;J;1100056;2;
1;J;1100064;5;
1;J;1100072;1;
1;J;1100080;3;
1;J;1100098;3;
1;J;1100106;4;
1;J;1100114;9;
1;J;1100122;103;
1;J;1100130;4;
1;J;1100148;1;
1;J;1100155;9;
1;J;1100189;47;
1;J;1100205;444;
1;J;1100254;5;
1;J;1100288;5;
1;J;1100296;2;
1;J;1100304;93;
1;J;1100320;7;
1;J;1100338;2;
1;J;1100346;2;
1;J;1100379;1;
1;J;1100452;3;
1;J;1100502;3;
1;J;1100601;1;
1;J;1100924;1;
1;J;1100940;1;
1;J;1101104;1;
1;J;1101203;2;
1;J;1101302;3;
1;J;1101401;1;
1;J;1101492;1;
1;J;1101500;1;
1;J;1101708;1;
1;J;1200013;2;
1;J;1200138;1;
1;J;1200203;6;
1;J;1200252;4;
1;J;1200302;1;
1;J;1200336;1;
1;J;1200385;5;
1;J;1200401;238;
1;J;1200450;3;
1;J;1200500;2;
1;J;1200609;1;
1;J;1200708;2;
1;J;1200807;1;
1;J;1300029;4;
1;J;1300060;3;
1;J;1300086;2;
1;J;1300102;2;
1;J;1300144;4;
1;J;1300201;3;
1;J;1300300;1;
1;J;1300409;4;
1;J;1300508;2;
1;J;1300607;5;
1;J;1300631;3;
1;J;1300680;2;
1;J;1300706;1;
1;J;1300805;1;
1;J;1300839;3;
1;J;1300904;2;
1;J;1301001;3;
1;J;1301100;4;
1;J;1301159;3;
1;J;1301209;3;
1;J;1301308;2;
1;J;1301407;6;
1;J;1301506;1;
1;J;1301605;3;
1;J;1301654;3;
1;J;1301704;3;
1;J;1301803;2;
1;J;1301852;3;
1;J;1301902;8;
1;J;1301951;1;
1;J;1302009;2;
1;J;1302108;4;
1;J;1302207;5;
1;J;1302306;2;
1;J;1302405;7;
1;J;1302504;3;
1;J;1302553;2;
1;J;1302603;810;
1;J;1302702;3;
1;J;1302801;3;
1;J;1302900;3;
1;J;1303007;2;
1;J;1303106;5;
1;J;1303205;5;
1;J;1303304;3;
1;J;1303403;8;
1;J;1303502;3;
1;J;1303536;5;
1;J;1303569;4;
1;J;1303601;4;
1;J;1303700;2;
1;J;1303809;4;
1;J;1303908;2;
1;J;1303957;2;
1;J;1304005;1;
1;J;1304062;11;
1;J;1304104;1;
1;J;1304203;10;
1;J;1304237;4;
1;J;1304260;2;
1;J;1304302;3;
1;J;1304401;4;
1;J;1400050;3;
1;J;1400100;91;
1;J;1400209;2;
1;J;1400308;3;
1;J;1400456;7;
1;J;1400472;5;
1;J;1400605;2;
1;J;1500404;1;
1;J;1500503;4;
1;J;1500602;20;
1;J;1500800;108;
1;J;1501303;25;
1;J;1501402;555;
1;J;1501451;2;
1;J;1501501;19;
1;J;1501709;8;
1;J;1501782;1;
1;J;1501808;6;
1;J;1501956;3;
1;J;1502103;4;
1;J;1502152;1;
1;J;1502202;12;
1;J;1502301;3;
1;J;1502400;37;
1;J;1502707;5;
1;J;1502939;3;
1;J;1502954;2;
1;J;1503309;4;
1;J;1503457;3;
1;J;1503606;10;
1;J;1503804;1;
1;J;1503903;2;
1;J;1504059;2;
1;J;1504208;82;
1;J;1504422;44;
1;J;1504802;1;
1;J;1505031;3;
1;J;1505064;1;
1;J;1505106;2;
1;J;1505304;7;
1;J;1505403;1;
1;J;1505437;2;
1;J;1505502;27;
1;J;1505536;20;
1;J;1505601;1;
1;J;1505650;2;
1;J;1506138;6;
1;J;1506187;2;
1;J;1506203;6;
1;J;1506351;2;
1;J;1506500;6;
1;J;1506609;3;
1;J;1506708;1;
1;J;1506807;36;
1;J;1507607;6;
1;J;1507904;5;
1;J;1507953;2;
1;J;1508001;2;
1;J;1508084;4;
1;J;1508100;5;
1;J;1508159;2;
1;J;1508209;2;
1;J;1508407;9;
1;J;1600105;1;
1;J;1600212;1;
1;J;1600238;2;
1;J;1600279;2;
1;J;1600303;65;
1;J;1600402;3;
1;J;1600501;3;
1;J;1600600;4;
1;J;1600709;1;
1;J;1700350;3;
1;J;1700400;1;
1;J;1700707;4;
1;J;1702000;1;
1;J;1702109;72;
1;J;1702208;2;
1;J;1702307;1;
1;J;1702406;2;
1;J;1702554;2;
1;J;1703008;1;
1;J;1703602;1;
1;J;1703701;1;
1;J;1703867;1;
1;J;1705102;1;
1;J;1705508;7;
1;J;1705557;1;
1;J;1706100;3;
1;J;1707009;4;
1;J;1707108;2;
1;J;1707306;1;
1;J;1707553;2;
1;J;1707652;2;
1;J;1707702;1;
1;J;1708205;2;
1;J;1708254;1;
1;J;1709302;9;
1;J;1709500;24;
1;J;1711506;1;
1;J;1712009;1;
1;J;1713205;11;
1;J;1713304;4;
1;J;1714203;2;
1;J;1714880;4;
1;J;1715754;2;
1;J;1716109;10;
1;J;1716208;1;
1;J;1716505;3;
1;J;1716604;1;
1;J;1716703;1;
1;J;1717503;2;
1;J;1717909;1;
1;J;1718204;24;
1;J;1718402;1;
1;J;1718865;2;
1;J;1718907;1;
1;J;1720499;1;
1;J;1720655;2;
1;J;1720903;1;
1;J;1720978;1;
1;J;1721000;165;
1;J;1721109;1;
1;J;1721208;4;
1;J;1722081;3;
1;J;1722107;2;
1;J;2100055;9;
1;J;2100154;1;
1;J;2100204;4;
1;J;2100303;1;
1;J;2100402;1;
1;J;2100436;1;
1;J;2100477;1;
1;J;2100501;2;
1;J;2100600;3;
1;J;2100709;1;
1;J;2100808;1;
1;J;2100832;1;
1;J;2100873;1;
1;J;2100907;1;
1;J;2100956;2;
1;J;2101004;3;
1;J;2101103;1;
1;J;2101202;9;
1;J;2101251;3;
1;J;2101301;1;
1;J;2101400;2;
1;J;2101509;2;
1;J;2101608;9;
1;J;2101707;6;
1;J;2101772;1;
1;J;2101905;1;
1;J;2101970;3;
1;J;2102002;1;
1;J;2102036;1;
1;J;2102077;1;
1;J;2102101;1;
1;J;2102150;1;
1;J;2102200;1;
1;J;2102309;3;
1;J;2102408;1;
1;J;2102507;1;
1;J;2102606;1;
1;J;2102705;2;
1;J;2102754;1;
1;J;2102804;4;
1;J;2103000;16;
1;J;2103125;1;
1;J;2103174;1;
1;J;2103208;4;
1;J;2103307;6;
1;J;2103406;2;
1;J;2103505;1;
1;J;2103554;1;
1;J;2103604;3;
1;J;2103703;3;
1;J;2103802;1;
1;J;2104008;1;
1;J;2104057;5;
1;J;2104107;2;
1;J;2104206;1;
1;J;2104404;1;
1;J;2104503;1;
1;J;2104552;1;
1;J;2104602;1;
1;J;2104677;2;
1;J;2104701;1;
1;J;2104800;4;
1;J;2104909;1;
1;J;2105005;1;
1;J;2105104;1;
1;J;2105153;1;
1;J;2105203;1;
1;J;2105302;33;
1;J;2105351;1;
