01;CLA;IPL3;201611;
1;J;1100015;2;EBT;
1;J;1100023;58;EBT;
1;J;1100031;3;EBT;
1;J;1100049;97;EBT;
1;J;1100056;3;EBT;
1;J;1100064;4;EBT;
1;J;1100080;6;EBT;
1;J;1100098;2;EBT;
1;J;1100106;12;EBT;
1;J;1100114;16;EBT;
1;J;1100122;203;EBT;
1;J;1100130;4;EBT;
1;J;1100155;13;EBT;
1;J;1100189;45;EBT;
1;J;1100205;961;EBT;
1;J;1100254;3;EBT;
1;J;1100288;7;EBT;
1;J;1100296;3;EBT;
1;J;1100304;157;EBT;
1;J;1100320;5;EBT;
1;J;1100346;3;EBT;
1;J;1100379;2;EBT;
1;J;1100452;3;EBT;
1;J;1100502;2;EBT;
1;J;1100601;2;EBT;
1;J;1100809;1;EBT;
1;J;1100924;1;EBT;
1;J;1101005;3;EBT;
1;J;1101302;2;EBT;
1;J;1101468;1;EBT;
1;J;1101492;2;EBT;
1;J;1101500;3;EBT;
1;J;1101708;1;EBT;
1;J;1200013;1;EBT;
1;J;1200054;7;EBT;
1;J;1200104;5;EBT;
1;J;1200138;9;EBT;
1;J;1200203;19;EBT;
1;J;1200252;5;EBT;
1;J;1200302;3;EBT;
1;J;1200336;4;EBT;
1;J;1200344;1;EBT;
1;J;1200385;4;EBT;
1;J;1200401;571;EBT;
1;J;1200450;3;EBT;
1;J;1200500;3;EBT;
1;J;1200609;2;EBT;
1;J;1200708;2;EBT;
1;J;1300029;5;EBT;
1;J;1300060;3;EBT;
1;J;1300086;2;EBT;
1;J;1300102;2;EBT;
1;J;1300144;4;EBT;
1;J;1300201;3;EBT;
1;J;1300300;2;EBT;
1;J;1300409;4;EBT;
1;J;1300508;2;EBT;
1;J;1300607;5;EBT;
1;J;1300631;4;EBT;
1;J;1300680;2;EBT;
1;J;1300706;3;EBT;
1;J;1300805;2;EBT;
1;J;1300839;3;EBT;
1;J;1300904;2;EBT;
1;J;1301001;4;EBT;
1;J;1301100;8;EBT;
1;J;1301159;3;EBT;
1;J;1301209;7;EBT;
1;J;1301308;2;EBT;
1;J;1301407;12;EBT;
1;J;1301506;1;EBT;
1;J;1301605;4;EBT;
1;J;1301654;3;EBT;
1;J;1301704;23;EBT;
1;J;1301803;2;EBT;
